id;address;pricePerSqm;yearBuilt;sourceLink;salePrice;size;roomInfo;houseType;postcode
3171;Kaitoväylä 20 A, Kaijonharju Oulu;1099;1985;http://www.etuovi.com/kohde/e42828?sc=M1042147289&pos=3375;69800;63.5;2h(1mh+oh)+k+kh/wc+s+et+lasit.parv;Kerrostalo;90570
3206;Suokukkatie 3, Huonesuo Oulu;1690;1981;http://www.etuovi.com/kohde/7731951?sc=M1042147289&pos=3413;169000;100;4h,k,s,at;Omakotitalo;90630
3209;Urpiaisentie 10, Kuivasjärvi Oinaansuo Oulu;1077;1985;http://www.etuovi.com/kohde/9911153?sc=M1042147289&pos=3422;195000;181;4mh,oh,työh,takkah,k,khh,kh,s;Omakotitalo;90540
3217;Kurjenpolvi 2, Rajakylä Oulu;1200;1971;http://www.etuovi.com/kohde/1194637?sc=M1042147289&pos=3416;120000;100;4h, k, s, ph, takkahuone, 2x wc;Rivitalo;90580
3244;Rajakaltionkatu 5, Alppila Oulu;2767;2012;http://www.etuovi.com/kohde/1194186?sc=M1042147289&pos=3480;285000;103;3h, k, khh, kph, s;Kerrostalo;90530
3344;Kirkkokatu 4, Keskusta Oulu;2371;1957;http://www.etuovi.com/kohde/1194040?sc=M1042147289&pos=3590;249000;105;4h, k;Kerrostalo;90100
3350;Kirkkotie 8b F18, Haukipudas Oulu;2134;2015;http://www.etuovi.com/kohde/7731939?sc=M1042147289&pos=3576;199500;93.5;4H+KT+S;Rivitalo;90830
3352;Vanhatie 33, Jääli Oulu;1516;1985;http://www.etuovi.com/kohde/e42774?sc=M1042147289&pos=3578;185000;122;4h + k + ph + s + wc + vh + et + var + at;Omakotitalo;90940
3369;Liinankuja 10 A, Herukka Oulu;1195;1981;http://www.etuovi.com/kohde/e42767?sc=M1042147289&pos=3606;92000;77;3h(2mh+oh)+k+ruok.tila+kh/wc+s+et+tk;Rivitalo;90800
3388;Huurutie 5, Kiulukangas Oulu;2310;2018;http://www.etuovi.com/kohde/e42764?sc=M1042147289&pos=3645;231000;100;4h+k+s;Paritalo;90650
3390;Hanhitie 13 B, Höyhtyä Oulu;3477;2016;http://www.etuovi.com/kohde/d82737?sc=M1042147289&pos=3647;319900;92;4h+k+s;Kerrostalo;90150
3396;Hanhitie 13 A, Höyhtyä Oulu;4067;2017;http://www.etuovi.com/kohde/c96882?sc=M1042147289&pos=3649;359900;88.5;3h+k+s;Kerrostalo;90150
3423;Torikatu 64, Heinäpää Oulu;2327;1984;http://www.etuovi.com/kohde/2204773?sc=M1042147289&pos=3660;178000;76.5;3 h, k, kph/wc, s, khh;Kerrostalo;90120
3447;Aleksanterinkatu 71, Hollihaka Oulu;2500;2016;http://www.etuovi.com/kohde/1194270?sc=M1042147289&pos=3674;185000;74;3h, kk, s;Kerrostalo;90120
3508;Haukilenkki 10, Haukipudas Oulu;1059;1974;http://www.etuovi.com/kohde/2204769?sc=M1042147289&pos=3749;199000;188;6h, k, khh, s, ph, 2 x wc, at;Omakotitalo;90830
3541;Nuolihaukantie 1, Kaukovainio Oulu;1115;1973;http://www.etuovi.com/kohde/9734507?sc=M1042147289&pos=3789;87000;78;3h+k+parv.;Kerrostalo;90250
3543;Kellonpellontie 16, Taskila Oulu;1590;1983;http://www.etuovi.com/kohde/1181499?sc=M1042147289&pos=3791;235000;147.8;3mh, oh, k, et, th, kph, s, khh, 2wc, pkh, 3vh;Omakotitalo;90520
3573;Susitie 6, Välivainio Oulu;1537;1961;http://www.etuovi.com/kohde/584095?sc=M1042147289&pos=3821;196000;127.5;Oh,k,4-5mh,3wc,sa,ph,khh,h,3var,2ask.h.las.ter.;Omakotitalo;90530
